18	3	5	20	24	32	11
26	19	23	22	12	7	11
18	11	3	16	4	8	14
16	10	22	26	5	6	11
16	11	28	19	32	6	4
8	31	29	10	12	2	1
13	28	19	1	24	6	16
33	9	15	1	4	2	12
28	29	9	24	12	30	2
8	13	6	14	22	27	10
15	8	13	14	3	30	4
5	8	22	2	17	15	16
30	25	20	26	7	27	14
4	32	17	9	30	12	3
10	30	3	12	18	1	1
30	26	20	33	5	14	12
17	31	7	23	26	14	9
18	21	12	22	24	17	4
23	19	20	3	13	26	3
7	1	19	18	27	3	16
12	22	13	29	3	28	3
31	33	32	6	15	26	16
20	22	4	7	3	9	3
19	29	13	4	26	20	11
15	28	21	22	3	23	15
6	17	20	18	29	27	15
14	15	8	27	21	12	15
3	10	19	8	33	26	3
22	14	19	25	10	29	12
18	20	21	27	12	15	15
25	29	21	12	6	8	1
11	15	13	17	19	31	5
30	9	12	4	28	33	1
11	4	30	12	24	17	12
2	5	7	31	14	18	13
3	29	25	6	10	19	7
23	22	30	19	4	9	7
13	11	22	26	24	9	5
1	12	22	10	2	24	10
6	17	13	16	30	23	10
14	17	13	21	25	12	4
20	8	30	5	22	6	5
22	20	1	25	26	24	16
26	22	25	14	1	2	7
2	10	27	20	8	18	7
21	22	31	7	26	12	1
32	12	16	7	14	27	15
22	29	10	3	8	15	12
12	14	2	4	25	19	6
27	14	24	25	32	10	4
29	33	15	2	32	24	2
12	20	14	27	29	5	6
31	16	28	18	20	13	12
20	31	11	14	18	33	14
8	22	10	17	25	33	12
10	14	26	28	23	1	1
9	14	30	17	24	20	16
18	22	20	16	13	6	13
25	11	18	7	15	9	7
11	15	27	8	29	22	3
18	32	11	19	21	29	12
32	5	6	31	23	8	11
8	1	3	31	11	29	13
9	21	33	10	22	20	9
14	9	27	26	13	22	7
23	30	8	9	16	24	5
17	28	16	30	32	21	15
8	7	19	24	15	20	13
7	32	15	4	28	1	16
20	15	19	13	21	32	4
22	13	17	20	19	25	11
28	25	3	8	19	27	2
28	30	29	20	6	31	12
13	18	25	1	10	27	9
8	1	24	16	19	2	11
27	31	28	14	22	23	12
5	28	12	2	29	23	1
14	18	1	26	32	12	7
14	19	27	5	31	2	4
24	3	2	20	22	13	15
3	28	11	5	30	33	1
10	22	13	26	19	12	3
15	17	6	22	14	16	10
5	8	16	27	11	18	4
8	11	22	1	28	3	6
22	7	19	27	33	10	6
23	10	29	15	20	11	12
27	30	13	33	22	5	10
3	27	2	5	18	12	1
22	5	28	9	12	8	7
22	5	16	25	11	7	7
3	21	20	1	29	28	12
21	24	29	16	27	26	16
31	23	18	2	10	8	8
21	1	23	31	11	4	12
11	4	26	12	32	18	12
23	15	4	26	6	28	11
7	1	32	24	14	8	3
13	21	26	4	7	9	1
27	7	5	19	1	8	12
3	27	10	19	20	1	11
20	16	14	30	8	18	12
16	5	22	7	23	17	4
33	16	9	1	32	8	13
2	24	12	27	22	19	15
7	18	21	25	16	14	8
31	32	3	4	1	23	13
10	9	26	19	16	20	12
23	21	9	18	26	25	1
30	32	8	6	13	26	14
7	14	12	23	9	21	6
22	16	29	28	24	8	5
19	21	3	11	17	2	8
7	14	22	11	6	10	9
26	9	13	27	33	6	1
14	27	20	12	9	26	4
31	23	24	16	17	6	7
30	28	31	4	15	21	4
16	6	17	4	13	1	10
31	1	25	21	13	3	8
27	26	9	19	21	15	1
17	22	7	5	19	31	11
12	33	22	10	25	14	15
28	14	29	19	12	27	1
2	12	29	31	20	24	9
20	15	9	28	19	16	11
6	5	18	16	8	22	12
25	8	2	28	27	29	5
29	28	15	20	22	18	15
18	7	6	32	16	29	5
14	9	2	28	30	8	7
31	28	13	22	20	26	13
30	14	25	17	27	28	2
15	9	32	14	20	26	11
22	7	26	29	3	20	2
27	6	13	8	10	1	16
1	9	27	10	19	23	9
6	19	32	13	21	11	4
21	29	4	26	25	7	8
2	27	26	1	22	17	4
1	31	5	20	3	21	5
28	29	8	18	20	31	8
29	7	19	21	13	1	15
23	17	18	30	13	1	15
27	15	6	21	26	18	10
5	24	25	31	2	8	14
17	8	11	28	5	24	16
29	26	8	14	10	19	12
14	27	23	12	11	17	1
7	9	16	32	22	1	12
18	26	14	15	9	21	16
18	26	6	32	22	33	4
18	1	27	31	32	3	13
25	6	16	2	32	9	14
10	18	2	20	9	19	15
25	24	32	20	9	26	4
1	8	18	20	16	7	14
19	10	18	1	28	15	2
22	1	10	26	7	2	7
32	7	17	3	33	22	10
25	4	16	26	11	2	12
32	4	24	26	10	28	9
17	12	16	3	9	31	4
23	17	7	20	12	14	5
27	22	16	13	17	25	10
20	24	26	27	2	3	9
31	23	5	10	14	7	1
30	31	22	1	13	5	7
14	4	3	16	13	2	2
26	11	24	27	12	15	15
23	10	21	9	19	32	8
25	11	9	17	4	21	6
27	30	16	18	32	13	16
26	30	13	29	1	15	12
33	11	5	6	12	14	14
31	5	28	7	18	12	3
33	4	17	6	16	26	3
9	1	8	24	22	33	3
27	13	18	12	20	17	13
31	6	32	21	29	3	5
16	29	18	14	32	11	16
22	26	1	5	7	32	11
8	11	14	15	26	16	7
14	15	7	28	21	19	7
4	28	26	27	7	10	14
7	29	26	16	9	5	7
33	17	13	2	22	21	13
11	32	15	27	12	10	14
9	23	11	24	18	16	10
9	8	13	29	10	30	1
10	16	7	4	23	25	10
14	27	28	17	16	15	8
4	7	1	23	19	22	4
26	19	6	11	2	25	4
12	28	9	6	14	29	9
20	18	13	27	33	25	12
10	6	17	15	2	31	13
7	33	25	24	1	20	4
19	16	30	27	2	12	11
26	9	8	25	29	24	1
31	23	29	5	22	3	6
14	4	15	18	17	20	15
2	8	3	21	1	31	9
14	25	21	17	7	4	14
16	22	7	10	4	20	3
17	1	9	33	7	20	8
33	1	10	11	29	31	13
7	18	32	17	16	10	15
16	15	14	2	23	24	10
31	15	23	10	24	20	15
15	28	25	16	32	7	5
9	1	7	23	16	20	6
15	8	21	20	13	25	12
8	27	21	11	5	4	8
3	22	24	32	8	14	9
15	19	10	33	9	7	1
5	2	12	1	15	16	13
6	26	7	31	22	32	10
32	1	29	6	20	13	1
12	23	29	26	13	10	11
6	3	5	10	9	27	14
25	20	18	3	26	12	16
25	6	28	22	21	23	13
21	9	16	8	11	24	10
10	14	17	11	6	33	6
15	14	25	29	20	1	11
4	29	6	31	13	33	13
6	11	29	3	25	9	9
32	19	31	3	27	16	10
33	4	2	13	11	25	1
23	28	22	5	16	26	2
14	13	31	16	23	30	13
6	5	14	15	33	18	8
28	21	22	5	32	17	14
1	10	30	24	33	2	10
20	28	8	9	32	5	2
18	24	5	7	17	8	14
23	21	27	2	10	12	12
17	6	27	11	22	16	1
11	15	31	10	32	26	6
33	2	24	17	31	20	4
11	33	1	28	6	17	5
20	6	29	16	11	9	11
13	22	1	28	30	2	9
1	12	7	28	16	23	4
26	6	20	17	13	29	9
26	7	30	15	5	18	3
25	5	29	10	17	28	4
10	15	14	9	29	19	16
32	10	11	1	9	13	3
2	7	23	33	32	30	10
31	32	33	14	28	12	7
1	15	30	21	16	24	3
8	28	22	20	17	2	2
1	30	8	13	11	19	6
5	19	11	28	2	15	2
8	20	23	9	28	3	2
22	27	17	11	25	14	16
21	18	9	17	14	25	15
27	19	17	14	32	16	4
2	6	28	19	12	27	13
8	10	33	18	9	3	4
31	24	21	14	16	28	13
18	16	23	32	24	20	7
9	1	16	10	14	6	11
5	32	13	10	11	1	14
17	31	29	20	13	2	7
27	13	24	25	7	32	15
17	12	22	24	14	19	8
22	5	8	6	14	31	8
23	1	29	10	20	18	1
10	20	8	2	29	9	5
3	22	19	13	18	26	7
5	1	29	27	12	19	14
19	24	9	5	11	32	13
27	14	4	30	17	6	9
16	3	14	6	29	11	15
18	6	23	33	32	22	6
14	2	12	10	4	30	8
2	29	19	1	11	23	8
13	25	1	6	10	9	8
23	33	5	21	6	19	12
20	4	26	29	2	25	11
29	8	22	27	24	14	10
25	5	30	14	17	16	7
2	28	22	7	27	16	2
6	2	3	9	17	5	7
15	22	9	12	8	19	10
33	10	12	18	17	6	11
22	29	11	27	9	3	6
30	6	3	31	1	13	12
12	20	33	30	16	1	2
1	13	19	32	7	3	16
22	4	12	2	17	25	14
7	9	28	19	1	29	7
19	12	5	30	17	25	11
13	22	27	12	4	29	16
17	6	23	1	7	18	6
5	2	18	21	17	15	16
22	4	8	5	10	3	6
32	2	29	9	16	15	14
22	17	8	31	21	3	16
9	15	24	25	6	26	9
14	28	2	17	31	27	8
3	25	18	14	5	33	6
12	5	25	13	8	23	13
3	14	25	12	13	2	11
31	12	4	2	18	23	8
28	20	1	11	18	29	1
19	30	21	9	2	14	4
1	11	5	29	4	30	14
22	31	17	19	14	26	2
28	30	13	15	33	9	8
21	19	24	10	23	16	13
26	32	17	3	25	23	13
32	7	23	16	17	6	6
24	25	16	9	17	6	16
11	19	8	10	12	29	15
2	22	18	10	11	17	10
4	2	9	22	11	19	15
27	4	28	9	33	21	12
2	14	5	9	33	24	9
33	28	25	15	12	20	14
21	18	7	22	11	16	2
4	12	3	11	6	15	8
15	31	11	3	19	20	7
23	7	24	22	33	4	16
24	14	25	30	6	13	7
8	11	7	9	1	22	3
17	7	33	32	8	9	6
1	8	4	25	3	31	6
33	13	32	28	5	23	12
33	14	29	22	1	2	7
27	10	21	16	17	4	14
30	12	19	24	18	23	10
7	21	16	29	2	14	14
16	21	27	30	32	6	5
31	8	30	14	16	10	1
23	6	11	5	2	1	14
16	30	1	5	14	10	16
8	10	16	23	20	30	9
9	21	17	13	7	22	10
6	21	26	7	10	4	16
29	10	22	17	15	8	12
9	25	14	23	24	17	15
20	15	19	10	2	21	7
13	33	30	21	17	18	15
26	6	25	4	14	7	10
7	2	24	21	3	13	8
11	19	30	32	33	2	9
4	22	25	19	29	9	15
15	21	13	5	17	9	13
21	24	19	1	11	8	8
14	13	21	32	9	10	2
33	31	5	7	20	8	11
19	20	9	25	8	32	16
30	21	16	14	5	29	12
28	12	14	18	8	10	14
7	27	17	3	4	21	14
33	18	15	32	27	23	4
25	1	19	24	4	22	15
10	33	30	6	28	11	12
32	4	31	33	23	21	4
9	27	29	20	3	15	1
19	11	7	29	24	14	5
18	28	11	8	33	13	10
6	4	16	18	29	14	5
9	33	3	19	10	28	9
15	26	1	25	29	16	10
25	18	32	9	26	30	11
6	22	11	12	14	17	1
19	30	17	2	15	16	8
30	20	25	32	33	8	1
13	10	24	16	23	6	15
27	19	31	5	12	7	2
27	18	32	21	22	12	11
12	20	29	14	22	11	14
5	4	31	3	25	30	4
22	12	13	21	5	1	10
11	27	7	21	13	8	8
27	28	24	16	15	4	3
27	17	4	19	24	23	10
26	16	18	6	4	14	6
24	31	9	23	29	25	12
25	17	18	1	19	29	10
22	12	4	7	25	19	1
22	27	20	23	25	21	12
19	12	17	26	6	4	9
3	1	16	33	15	31	8
27	31	14	5	10	6	14
25	31	17	13	7	19	8
22	13	3	20	2	33	14
19	31	4	33	10	27	16
28	25	4	8	18	6	16
9	15	30	3	25	23	7
25	2	11	17	1	6	2
27	7	10	26	15	13	11
7	6	5	25	27	4	7
6	23	18	13	5	31	11
20	26	22	15	32	5	9
33	32	2	17	3	22	16
33	27	24	12	9	13	16
21	33	12	32	26	15	7
3	18	27	17	16	12	8
21	17	4	6	33	23	7
33	24	7	4	17	11	9
31	13	12	22	1	6	7
6	2	33	3	1	8	13
21	18	17	29	32	15	13
24	9	23	29	32	27	8
31	32	21	28	16	22	5
17	11	28	31	7	9	11
11	32	9	23	30	31	6
11	27	1	31	32	23	9
17	2	28	4	15	1	11
4	20	9	18	2	13	7
16	5	8	2	6	4	3
5	23	32	9	27	7	1
20	16	8	4	14	11	11
20	26	31	21	5	11	3
19	20	26	7	15	18	14
17	23	22	14	25	5	7
28	22	1	30	2	29	15
29	28	19	15	1	6	10
14	2	22	18	4	20	7
31	26	8	2	29	1	14
26	11	7	21	31	15	6
31	14	24	28	4	25	10
11	24	2	23	5	29	8
4	8	19	25	21	12	13
15	9	21	22	24	20	14
24	28	23	2	13	19	5
2	11	26	4	16	13	11
2	12	16	8	14	32	16
21	7	5	9	20	11	3
12	19	14	6	23	5	9
22	14	20	4	13	30	6
1	10	31	13	4	21	13
23	28	11	32	10	12	16
26	7	22	19	13	17	13
5	26	17	27	18	3	15
9	14	26	24	29	23	3
23	24	29	30	14	26	3
4	9	6	33	25	30	14
6	8	32	14	3	19	3
13	20	28	17	9	2	11
8	33	14	19	11	2	9
21	12	26	28	5	23	9
2	28	10	30	9	3	6
30	16	18	17	7	33	6
13	20	25	2	27	7	6
9	1	4	30	15	22	6
17	16	20	1	3	32	7
23	7	30	19	18	29	2
13	25	22	9	32	1	12
31	20	15	23	10	18	12
22	19	6	1	7	27	2
6	5	18	13	12	7	12
7	5	20	13	19	10	15
27	29	3	10	24	18	9
24	8	11	21	17	23	5
13	19	26	16	28	23	5
12	29	26	3	25	28	16
32	19	27	18	22	8	6
8	14	4	3	28	21	14
30	22	3	33	13	12	14
14	22	24	6	21	7	13
29	8	15	28	19	12	2
22	7	3	13	25	18	3
16	32	14	10	21	13	14
32	28	30	10	17	13	4
1	27	17	30	11	8	12
19	3	24	26	16	20	6
7	6	14	31	8	23	12
28	26	11	3	18	5	6
17	25	6	15	14	3	16
15	8	33	13	1	12	3
23	17	10	2	24	12	5
10	2	12	4	17	30	10
2	15	24	29	1	14	6
15	10	12	14	19	9	11
18	15	32	28	27	2	14
29	5	31	9	27	4	13
26	17	15	14	30	1	2
20	6	22	33	26	15	9
6	28	17	19	13	5	1
4	21	29	30	33	25	3
3	15	14	13	33	21	3
25	26	7	29	18	14	6
29	23	6	19	10	7	12
7	25	8	26	28	14	13
24	21	1	12	4	2	12
4	11	14	15	22	31	11
30	16	18	25	17	24	8
4	23	30	5	27	13	9
32	3	15	6	18	30	5
15	7	4	2	20	9	7
19	31	26	1	17	6	11
16	1	7	21	12	8	1
20	26	16	5	1	2	6
30	8	28	29	13	2	5
31	12	30	32	4	6	9
12	6	2	28	14	5	5
5	18	13	6	7	11	15
5	17	19	20	4	2	8
6	19	13	28	5	22	9
6	28	22	17	29	14	2
12	3	17	27	29	24	9
32	1	9	17	33	11	12
4	16	23	1	13	9	2
17	32	3	25	8	21	15
32	2	15	26	9	22	1
22	13	30	9	10	17	13
1	25	32	13	31	14	12
10	27	6	16	20	32	8
22	28	23	26	33	27	9
16	30	1	22	28	18	12
6	15	25	8	24	14	6
5	16	12	32	28	7	4
21	11	4	5	28	27	10
28	10	29	12	18	22	7
25	24	32	14	26	5	1
17	23	24	9	26	11	7
26	25	32	1	13	5	13
3	21	6	11	31	17	7
24	15	23	32	2	12	9
7	5	32	1	29	13	13
5	28	26	27	20	33	3
3	10	13	30	12	27	4
8	25	7	30	18	32	6
31	22	5	29	18	28	6
20	8	5	3	27	19	9
31	30	33	14	27	18	15
8	24	21	31	28	19	15
7	16	21	17	1	19	14
1	13	17	2	4	6	7
7	21	28	17	2	8	11
2	8	11	17	7	5	16
5	7	13	6	23	2	15
20	1	29	21	8	11	2
16	25	7	12	17	21	10
6	19	32	28	26	18	12
20	15	22	31	1	3	3
21	1	7	9	17	29	1
30	12	5	9	31	29	5
26	9	11	21	32	1	8
12	24	5	23	15	3	7
12	13	26	29	8	33	1
7	33	21	27	6	25	11
10	8	25	16	28	33	9
19	29	12	22	28	13	11
1	20	7	24	8	23	11
1	4	20	24	28	29	16
12	20	27	25	26	28	13
6	12	5	15	7	28	11
24	15	18	20	28	13	9
31	29	32	21	3	26	3
3	32	24	20	26	8	14
29	6	11	26	27	1	15
6	9	18	3	32	13	6
15	31	20	21	27	8	6
10	31	9	20	22	2	13
7	3	13	10	32	22	9
29	12	31	2	26	24	3
13	12	19	1	9	28	13
31	15	11	25	24	12	9
32	13	22	20	14	23	16
17	6	13	15	14	30	4
28	19	9	5	4	10	3
9	4	14	11	33	32	2
13	25	30	27	29	28	15
33	12	9	17	18	20	2
33	15	5	7	25	18	10
21	8	27	16	15	12	16
12	31	19	26	29	2	9
14	13	8	22	19	5	6
7	29	11	16	33	4	7
24	29	17	27	28	30	2
14	9	33	23	16	6	15
19	24	33	21	3	5	13
17	18	32	28	6	13	3
7	5	21	19	8	1	16
20	30	25	2	29	13	11
25	3	13	14	10	7	11
23	3	24	27	5	31	15
13	14	11	10	3	22	9
9	8	23	15	13	22	8
24	17	30	5	33	31	5
2	28	26	20	29	10	14
4	33	15	14	26	9	4
22	11	4	29	18	2	6
29	5	25	2	24	10	6
9	15	14	4	16	27	3
33	24	6	12	30	7	12
15	24	8	22	28	33	12
26	28	2	18	13	4	12
29	22	11	18	30	27	15
6	23	4	32	29	22	11
32	16	28	19	18	15	8
27	17	7	9	10	4	5
2	3	13	30	7	9	6
21	19	23	22	3	4	8
4	2	31	32	24	3	11
20	11	18	10	29	8	6
32	22	17	5	26	33	10
4	26	30	10	21	5	16
1	26	29	2	9	33	12
19	8	27	10	18	31	14
23	10	16	24	11	5	11
24	17	10	2	19	27	12
2	31	17	16	20	13	7
3	18	11	8	14	12	14
17	16	29	7	10	13	1
21	13	26	4	22	31	1
20	26	25	3	6	15	4
21	31	27	3	5	19	4
4	14	26	31	17	7	10
6	24	28	4	13	20	1
14	20	18	30	33	6	14
33	25	4	22	27	15	4
3	5	20	6	24	2	4
2	14	17	12	30	31	9
15	7	13	17	24	19	11
20	19	4	12	13	32	2
30	5	1	14	24	22	10
6	33	11	7	32	16	11
20	33	19	4	12	23	6
21	20	27	8	30	11	9
9	6	25	10	14	22	3
2	11	33	26	9	21	3
5	6	19	24	28	11	16
20	24	8	32	11	15	2
22	9	31	8	25	3	10
2	22	1	29	13	5	8
15	19	11	9	33	10	16
24	19	14	5	28	33	9
2	19	26	11	18	13	9
24	12	11	21	26	9	5
2	23	33	3	8	32	16
27	16	3	17	15	2	4
2	24	10	22	17	1	4
22	4	24	31	27	16	3
18	21	31	10	9	17	8
7	25	26	15	4	28	3
30	15	10	28	21	20	11
25	30	22	31	16	4	12
3	25	15	9	24	7	16
25	3	9	27	8	17	6
25	28	4	12	19	21	13
9	15	23	33	5	24	2
26	8	12	27	24	4	4
1	18	30	22	15	16	3
12	3	23	29	18	8	11
30	22	7	20	18	14	16
22	26	5	32	6	3	15
28	25	19	9	6	14	10
